"","Channel A Last (mV)"
"00:00:00.000",""
"00:00:00.010",""
"00:00:00.020",""
"00:00:00.030",""
"00:00:00.040",""
"00:00:00.050",""
"00:00:00.060","46.541"
"00:00:00.070","9.308"
"00:00:00.080","9.308"
"00:00:00.090","0"
"00:00:00.100","0"
"00:00:00.110","0"
"00:00:00.120","0"
"00:00:00.130","0"
"00:00:00.140","0"
"00:00:00.150","9.308"
"00:00:00.160","0"
"00:00:00.170","9.308"
"00:00:00.180","18.616"
"00:00:00.190","9.308"
"00:00:00.200","9.308"
"00:00:00.210","0"
"00:00:00.220","0"
"00:00:00.230","9.308"
"00:00:00.240","0"
"00:00:00.250","0"
"00:00:00.260","9.308"
"00:00:00.270","18.616"
"00:00:00.280","27.924"
"00:00:00.290","0"
"00:00:00.300","9.308"
"00:00:00.310","0"
"00:00:00.320","9.308"
"00:00:00.330","0"
"00:00:00.340","9.308"
"00:00:00.350","0"
"00:00:00.360","0"
"00:00:00.370","9.308"
"00:00:00.380","0"
"00:00:00.390","0"
"00:00:00.400","9.308"
"00:00:00.410","18.616"
"00:00:00.420","0"
"00:00:00.430","9.308"
"00:00:00.440","0"
"00:00:00.450","9.308"
"00:00:00.460","9.308"
"00:00:00.470","18.616"
"00:00:00.480","0"
"00:00:00.490","0"
"00:00:00.500","0"
"00:00:00.510","9.308"
"00:00:00.520","9.308"
"00:00:00.530","0"
"00:00:00.540","9.308"
"00:00:00.550","0"
"00:00:00.560","0"
"00:00:00.570","0"
"00:00:00.580","18.616"
"00:00:00.590","9.308"
"00:00:00.600","18.616"
"00:00:00.610","0"
"00:00:00.620","18.616"
"00:00:00.630","9.308"
"00:00:00.640","9.308"
"00:00:00.650","0"
"00:00:00.660","0"
"00:00:00.670","0"
"00:00:00.680","9.308"
"00:00:00.690","0"
"00:00:00.700","27.924"
"00:00:00.710","27.924"
"00:00:00.720","18.616"
"00:00:00.730","9.308"
"00:00:00.740","0"
"00:00:00.750","0"
"00:00:00.760","9.308"
"00:00:00.770","18.616"
"00:00:00.780","9.308"
"00:00:00.790","18.616"
"00:00:00.800","9.308"
"00:00:00.810","0"
"00:00:00.820","9.308"
"00:00:00.830","0"
"00:00:00.840","0"
"00:00:00.850","0"
"00:00:00.860","9.308"
"00:00:00.870","9.308"
"00:00:00.880","18.616"
"00:00:00.890","0"
"00:00:00.900","9.308"
"00:00:00.910","0"
"00:00:00.920","9.308"
"00:00:00.930","0"
"00:00:00.940","9.308"
"00:00:00.950","9.308"
"00:00:00.960","9.308"
"00:00:00.970","9.308"
"00:00:00.980","9.308"
"00:00:00.990","9.308"
"00:00:01.000","9.308"
"00:00:01.010","0"
"00:00:01.020","9.308"
"00:00:01.030","0"
"00:00:01.040","0"
"00:00:01.050","0"
"00:00:01.060","18.616"
"00:00:01.070","0"
"00:00:01.080","0"
"00:00:01.090","0"
"00:00:01.100","0"
"00:00:01.110","0"
"00:00:01.120","9.308"
"00:00:01.130","0"
"00:00:01.140","0"
"00:00:01.150","0"
"00:00:01.160","9.308"
"00:00:01.170","0"
"00:00:01.180","27.924"
"00:00:01.190","0"
"00:00:01.200","0"
"00:00:01.210","0"
"00:00:01.220","9.308"
"00:00:01.230","18.616"
"00:00:01.240","9.308"
"00:00:01.250","0"
"00:00:01.260","0"
"00:00:01.270","18.616"
"00:00:01.280","18.616"
"00:00:01.290","27.924"
"00:00:01.300","0"
"00:00:01.310","0"
"00:00:01.320","9.308"
"00:00:01.330","9.308"
"00:00:01.340","0"
"00:00:01.350","9.308"
"00:00:01.360","9.308"
"00:00:01.370","9.308"
"00:00:01.380","0"
"00:00:01.390","9.308"
"00:00:01.400","0"
"00:00:01.410","18.616"
"00:00:01.420","0"
"00:00:01.430","0"
"00:00:01.440","18.616"
"00:00:01.450","0"
"00:00:01.460","0"
"00:00:01.470","9.308"
"00:00:01.480","0"
"00:00:01.490","0"
"00:00:01.500","27.924"
"00:00:01.510","18.616"
"00:00:01.520","0"
"00:00:01.530","0"
"00:00:01.540","0"
"00:00:01.550","9.308"
"00:00:01.560","9.308"
"00:00:01.570","9.308"
"00:00:01.580","0"
"00:00:01.590","9.308"
"00:00:01.600","0"
"00:00:01.610","0"
"00:00:01.620","9.308"
"00:00:01.630","9.308"
"00:00:01.640","0"
"00:00:01.650","9.308"
"00:00:01.660","9.308"
"00:00:01.670","0"
"00:00:01.680","9.308"
"00:00:01.690","27.924"
"00:00:01.700","9.308"
"00:00:01.710","9.308"
"00:00:01.720","18.616"
"00:00:01.730","9.308"
"00:00:01.740","0"
"00:00:01.750","0"
"00:00:01.760","0"
"00:00:01.770","18.616"
"00:00:01.780","0"
"00:00:01.790","0"
"00:00:01.800","0"
"00:00:01.810","0"
"00:00:01.820","0"
"00:00:01.830","27.924"
"00:00:01.840","27.924"
"00:00:01.850","9.308"
"00:00:01.860","0"
"00:00:01.870","9.308"
"00:00:01.880","9.308"
"00:00:01.890","9.308"
"00:00:01.900","9.308"
"00:00:01.910","9.308"
"00:00:01.920","9.308"
"00:00:01.930","9.308"
"00:00:01.940","0"
"00:00:01.950","9.308"
"00:00:01.960","27.924"
"00:00:01.970","9.308"
"00:00:01.980","0"
"00:00:01.990","0"
"00:00:02.000","9.308"
"00:00:02.010","9.308"
"00:00:02.020","0"
"00:00:02.030","0"
"00:00:02.040","0"
"00:00:02.050","18.616"
"00:00:02.060","18.616"
"00:00:02.070","0"
"00:00:02.080","0"
"00:00:02.090","0"
"00:00:02.100","18.616"
"00:00:02.110","15.514"
"00:00:02.120","9.308"
"00:00:02.130","0"
"00:00:02.140","0"
"00:00:02.150","0"
"00:00:02.160","9.308"
"00:00:02.170","18.616"
"00:00:02.180","0"
"00:00:02.190","9.308"
"00:00:02.200","0"
"00:00:02.210","0"
"00:00:02.220","9.308"
"00:00:02.230","27.924"
"00:00:02.240","0"
"00:00:02.250","9.308"
"00:00:02.260","37.233"
"00:00:02.270","9.308"
"00:00:02.280","0"
"00:00:02.290","9.308"
"00:00:02.300","0"
"00:00:02.310","9.308"
"00:00:02.320","0"
"00:00:02.330","9.308"
"00:00:02.340","0"
"00:00:02.350","9.308"
"00:00:02.360","0"
"00:00:02.370","27.924"
"00:00:02.380","18.616"
"00:00:02.390","9.308"
"00:00:02.400","0"
"00:00:02.410","9.308"
"00:00:02.420","0"
"00:00:02.430","18.616"
"00:00:02.440","0"
"00:00:02.450","0"
"00:00:02.460","0"
"00:00:02.470","9.308"
"00:00:02.480","18.616"
"00:00:02.490","0"
"00:00:02.500","9.308"
"00:00:02.510","9.308"
"00:00:02.520","9.308"
"00:00:02.530","9.308"
"00:00:02.540","9.308"
"00:00:02.550","0"
"00:00:02.560","18.616"
"00:00:02.570","0"
"00:00:02.580","9.308"
"00:00:02.590","18.616"
"00:00:02.600","9.308"
"00:00:02.610","0"
"00:00:02.620","0"
"00:00:02.630","0"
"00:00:02.640","0"
"00:00:02.650","0"
"00:00:02.660","9.308"
"00:00:02.670","0"
"00:00:02.680","0"
"00:00:02.690","0"
"00:00:02.700","0"
"00:00:02.710","9.308"
"00:00:02.720","0"
"00:00:02.730","9.308"
"00:00:02.740","18.616"
"00:00:02.750","18.616"
"00:00:02.760","0"
"00:00:02.770","0"
"00:00:02.780","18.616"
"00:00:02.790","0"
"00:00:02.800","0"
"00:00:02.810","9.308"
"00:00:02.820","9.308"
"00:00:02.830","0"
"00:00:02.840","18.616"
"00:00:02.850","0"
"00:00:02.860","9.308"
"00:00:02.870","0"
"00:00:02.880","0"
"00:00:02.890","9.308"
"00:00:02.900","9.308"
"00:00:02.910","18.616"
"00:00:02.920","18.616"
"00:00:02.930","18.616"
"00:00:02.940","0"
"00:00:02.950","0"
"00:00:02.960","9.308"
"00:00:02.970","0"
"00:00:02.980","0"
"00:00:02.990","0"
"00:00:03.000","9.308"
"00:00:03.010","0"
"00:00:03.020","9.308"
"00:00:03.030","9.308"
"00:00:03.040","0"
"00:00:03.050","9.308"
"00:00:03.060","0"
"00:00:03.070","0"
"00:00:03.080","9.308"
"00:00:03.090","18.616"
"00:00:03.100","9.308"
"00:00:03.110","18.616"
"00:00:03.120","0"
"00:00:03.130","9.308"
"00:00:03.140","18.616"
"00:00:03.150","18.616"
"00:00:03.160","9.308"
"00:00:03.170","9.308"
"00:00:03.180","9.308"
"00:00:03.190","9.308"
"00:00:03.200","0"
"00:00:03.210","9.308"
"00:00:03.220","18.616"
"00:00:03.230","18.616"
"00:00:03.240","9.308"
"00:00:03.250","27.924"
"00:00:03.260","0"
"00:00:03.270","9.308"
"00:00:03.280","18.616"
"00:00:03.290","9.308"
"00:00:03.300","0"
"00:00:03.310","18.616"
"00:00:03.320","0"
"00:00:03.330","9.308"
"00:00:03.340","9.308"
"00:00:03.350","0"
"00:00:03.360","18.616"
"00:00:03.370","9.308"
"00:00:03.380","18.616"
"00:00:03.390","9.308"
"00:00:03.400","27.924"
"00:00:03.410","9.308"
"00:00:03.420","27.924"
"00:00:03.430","0"
"00:00:03.440","0"
"00:00:03.450","18.616"
"00:00:03.460","9.308"
"00:00:03.470","9.308"
"00:00:03.480","9.308"
"00:00:03.490","0"
"00:00:03.500","0"
"00:00:03.510","9.308"
"00:00:03.520","18.616"
"00:00:03.530","27.924"
"00:00:03.540","9.308"
"00:00:03.550","18.616"
"00:00:03.560","0"
"00:00:03.570","9.308"
"00:00:03.580","0"
"00:00:03.590","0"
"00:00:03.600","9.308"
"00:00:03.610","9.308"
"00:00:03.620","9.308"
"00:00:03.630","18.616"
"00:00:03.640","0"
"00:00:03.650","9.308"
"00:00:03.660","18.616"
"00:00:03.670","0"
"00:00:03.680","0"
"00:00:03.690","0"
"00:00:03.700","0"
"00:00:03.710","9.308"
"00:00:03.720","9.308"
"00:00:03.730","9.308"
"00:00:03.740","0"
"00:00:03.750","9.308"
"00:00:03.760","0"
"00:00:03.770","0"
"00:00:03.780","9.308"
"00:00:03.790","0"
"00:00:03.800","9.308"
"00:00:03.810","0"
"00:00:03.820","18.616"
"00:00:03.830","9.308"
"00:00:03.840","0"
"00:00:03.850","9.308"
"00:00:03.860","9.308"
"00:00:03.870","18.616"
"00:00:03.880","0"
"00:00:03.890","9.308"
"00:00:03.900","0"
"00:00:03.910","9.308"
"00:00:03.920","9.308"
"00:00:03.930","0"
"00:00:03.940","0"
"00:00:03.950","0"
"00:00:03.960","9.308"
"00:00:03.970","0"
"00:00:03.980","0"
"00:00:03.990","18.616"
"00:00:04.000","9.308"
"00:00:04.010","0"
"00:00:04.020","9.308"
"00:00:04.030","0"
"00:00:04.040","0"
"00:00:04.050","9.308"
"00:00:04.060","0"
"00:00:04.070","18.616"
"00:00:04.080","0"
"00:00:04.090","9.308"
"00:00:04.100","0"
"00:00:04.110","9.308"
"00:00:04.120","0"
"00:00:04.130","18.616"
"00:00:04.140","0"
"00:00:04.150","0"
"00:00:04.160","0"
"00:00:04.170","9.308"
"00:00:04.180","9.308"
"00:00:04.190","0"
"00:00:04.200","0"
"00:00:04.210","0"
"00:00:04.220","18.616"
"00:00:04.230","18.616"
"00:00:04.240","0"
"00:00:04.250","9.308"
"00:00:04.260","9.308"
"00:00:04.270","9.308"
"00:00:04.280","9.308"
"00:00:04.290","0"
"00:00:04.300","0"
"00:00:04.310","0"
"00:00:04.320","0"
"00:00:04.330","0"
"00:00:04.340","0"
"00:00:04.350","0"
"00:00:04.360","0"
"00:00:04.370","9.308"
"00:00:04.380","9.308"
"00:00:04.390","18.616"
"00:00:04.400","18.616"
"00:00:04.410","9.308"
"00:00:04.420","9.308"
"00:00:04.430","0"
"00:00:04.440","0"
"00:00:04.450","0"
"00:00:04.460","0"
"00:00:04.470","18.616"
"00:00:04.480","0"
"00:00:04.490","27.924"
"00:00:04.500","0"
"00:00:04.510","0"
"00:00:04.520","9.308"
"00:00:04.530","0"
"00:00:04.540","9.308"
"00:00:04.550","9.308"
"00:00:04.560","9.308"
"00:00:04.570","0"
"00:00:04.580","18.616"
"00:00:04.590","18.616"
"00:00:04.600","0"
"00:00:04.610","9.308"
"00:00:04.620","0"
"00:00:04.630","9.308"
"00:00:04.640","18.616"
"00:00:04.650","9.308"
"00:00:04.660","0"
"00:00:04.670","27.924"
"00:00:04.680","0"
"00:00:04.690","0"
"00:00:04.700","0"
"00:00:04.710","0"
"00:00:04.720","0"
"00:00:04.730","9.308"
"00:00:04.740","9.308"
"00:00:04.750","9.308"
"00:00:04.760","0"
"00:00:04.770","9.308"
"00:00:04.780","9.308"
"00:00:04.790","9.308"
"00:00:04.800","18.616"
"00:00:04.810","0"
"00:00:04.820","0"
"00:00:04.830","9.308"
"00:00:04.840","0"
"00:00:04.850","18.616"
"00:00:04.860","0"
"00:00:04.870","0"
"00:00:04.880","0"
"00:00:04.890","18.616"
"00:00:04.900","9.308"
"00:00:04.910","0"
"00:00:04.920","0"
"00:00:04.930","0"
"00:00:04.940","9.308"
"00:00:04.950","9.308"
"00:00:04.960","27.924"
"00:00:04.970","37.233"
"00:00:04.980","0"
"00:00:04.990","0"
"00:00:05.000","0"
"00:00:05.010","0"
"00:00:05.020","0"
"00:00:05.030","0"
"00:00:05.040","18.616"
"00:00:05.050","0"
"00:00:05.060","0"
"00:00:05.070","9.308"
"00:00:05.080","18.616"
"00:00:05.090","9.308"
"00:00:05.100","9.308"
"00:00:05.110","0"
"00:00:05.120","18.616"
"00:00:05.130","0"
"00:00:05.140","0"
"00:00:05.150","18.616"
"00:00:05.160","9.308"
"00:00:05.170","0"
"00:00:05.180","0"
"00:00:05.190","0"
"00:00:05.200","9.308"
"00:00:05.210","0"
"00:00:05.220","9.308"
"00:00:05.230","9.308"
"00:00:05.240","0"
"00:00:05.250","0"
"00:00:05.260","0"
"00:00:05.270","9.308"
"00:00:05.280","9.308"
"00:00:05.290","18.616"
"00:00:05.300","9.308"
"00:00:05.310","0"
"00:00:05.320","18.616"
"00:00:05.330","9.308"
