"","Channel A Last (mV)"
"00:00:00.000","1619.922"
"00:00:00.010","1647.847"
"00:00:00.020","1638.539"
"00:00:00.030","1657.155"
"00:00:00.040","1647.847"
"00:00:00.050","1657.155"
"00:00:00.060","1638.539"
"00:00:00.070","1619.922"
"00:00:00.080","1647.847"
"00:00:00.090","1657.155"
"00:00:00.100","1638.539"
"00:00:00.110","1666.463"
"00:00:00.120","1638.539"
"00:00:00.130","1647.847"
"00:00:00.140","1610.614"
"00:00:00.150","1638.539"
"00:00:00.160","1629.231"
"00:00:00.170","1647.847"
"00:00:00.180","1657.155"
"00:00:00.190","1657.155"
"00:00:00.200","1666.463"
"00:00:00.210","1657.155"
"00:00:00.220","1629.231"
"00:00:00.230","1675.771"
"00:00:00.240","1657.155"
"00:00:00.250","1657.155"
"00:00:00.260","1666.463"
"00:00:00.270","1647.847"
"00:00:00.280","1629.231"
"00:00:00.290","1647.847"
"00:00:00.300","1629.231"
"00:00:00.310","1666.463"
"00:00:00.320","1647.847"
"00:00:00.330","1666.463"
"00:00:00.340","1666.463"
"00:00:00.350","1666.463"
"00:00:00.360","1657.155"
"00:00:00.370","1647.847"
"00:00:00.380","1666.463"
"00:00:00.390","1657.155"
"00:00:00.400","1638.539"
"00:00:00.410","1629.231"
"00:00:00.420","1675.771"
"00:00:00.430","1647.847"
"00:00:00.440","1657.155"
"00:00:00.450","1638.539"
"00:00:00.460","1675.771"
"00:00:00.470","1647.847"
"00:00:00.480","1647.847"
"00:00:00.490","1666.463"
"00:00:00.500","1657.155"
"00:00:00.510","1647.847"
"00:00:00.520","1657.155"
"00:00:00.530","1666.463"
"00:00:00.540","1657.155"
"00:00:00.550","1657.155"
"00:00:00.560","1666.463"
"00:00:00.570","1675.771"
"00:00:00.580","1647.847"
"00:00:00.590","1666.463"
"00:00:00.600","1638.539"
"00:00:00.610","1647.847"
"00:00:00.620","1657.155"
"00:00:00.630","1666.463"
"00:00:00.640","1647.847"
"00:00:00.650","1675.771"
"00:00:00.660","1666.463"
"00:00:00.670","1638.539"
"00:00:00.680","1666.463"
"00:00:00.690","1647.847"
"00:00:00.700","1647.847"
"00:00:00.710","1666.463"
"00:00:00.720","1675.771"
"00:00:00.730","1666.463"
"00:00:00.740","1657.155"
"00:00:00.750","1657.155"
"00:00:00.760","1675.771"
"00:00:00.770","1675.771"
"00:00:00.780","1657.155"
"00:00:00.790","1666.463"
"00:00:00.800","1647.847"
"00:00:00.810","1666.463"
"00:00:00.820","1657.155"
"00:00:00.830","1666.463"
"00:00:00.840","1666.463"
"00:00:00.850","1647.847"
"00:00:00.860","1647.847"
"00:00:00.870","1666.463"
"00:00:00.880","1675.771"
"00:00:00.890","1675.771"
"00:00:00.900","1666.463"
"00:00:00.910","1666.463"
"00:00:00.920","1657.155"
"00:00:00.930","1657.155"
"00:00:00.940","1629.231"
"00:00:00.950","1675.771"
"00:00:00.960","1647.847"
"00:00:00.970","1666.463"
"00:00:00.980","1666.463"
"00:00:00.990","1657.155"
"00:00:01.000","1657.155"
"00:00:01.010","1657.155"
"00:00:01.020","1666.463"
"00:00:01.030","1638.539"
"00:00:01.040","1657.155"
"00:00:01.050","1647.847"
"00:00:01.060","1638.539"
"00:00:01.070","1666.463"
"00:00:01.080","1666.463"
"00:00:01.090","1666.463"
"00:00:01.100","1629.231"
"00:00:01.110","1647.847"
"00:00:01.120","1638.539"
"00:00:01.130","1666.463"
"00:00:01.140","1666.463"
"00:00:01.150","1666.463"
"00:00:01.160","1657.155"
"00:00:01.170","1638.539"
"00:00:01.180","1666.463"
"00:00:01.190","1675.771"
"00:00:01.200","1638.539"
"00:00:01.210","1657.155"
"00:00:01.220","1629.231"
"00:00:01.230","1647.847"
"00:00:01.240","1629.231"
"00:00:01.250","1675.771"
"00:00:01.260","1666.463"
"00:00:01.270","1657.155"
"00:00:01.280","1647.847"
"00:00:01.290","1657.155"
"00:00:01.300","1657.155"
"00:00:01.310","1647.847"
"00:00:01.320","1629.231"
"00:00:01.330","1647.847"
"00:00:01.340","1638.539"
"00:00:01.350","1657.155"
"00:00:01.360","1666.463"
"00:00:01.370","1657.155"
"00:00:01.380","1638.539"
"00:00:01.390","1647.847"
"00:00:01.400","1657.155"
"00:00:01.410","1666.463"
"00:00:01.420","1675.771"
"00:00:01.430","1657.155"
"00:00:01.440","1638.539"
"00:00:01.450","1647.847"
"00:00:01.460","1647.847"
"00:00:01.470","1647.847"
"00:00:01.480","1638.539"
"00:00:01.490","1657.155"
