"","Channel A Last (mV)"
"00:00:00.000","139.622"
"00:00:00.010","176.855"
"00:00:00.020","148.930"
"00:00:00.030","186.163"
"00:00:00.040","158.238"
"00:00:00.050","158.238"
"00:00:00.060","158.238"
"00:00:00.070","158.238"
"00:00:00.080","167.547"
"00:00:00.090","176.855"
"00:00:00.100","158.238"
"00:00:00.110","158.238"
"00:00:00.120","167.547"
"00:00:00.130","167.547"
"00:00:00.140","158.238"
"00:00:00.150","176.855"
"00:00:00.160","167.547"
"00:00:00.170","186.163"
"00:00:00.180","148.930"
"00:00:00.190","148.930"
"00:00:00.200","139.622"
"00:00:00.210","176.855"
"00:00:00.220","186.163"
"00:00:00.230","176.855"
"00:00:00.240","158.238"
"00:00:00.250","167.547"
"00:00:00.260","167.547"
"00:00:00.270","148.930"
"00:00:00.280","158.238"
"00:00:00.290","167.547"
"00:00:00.300","176.855"
"00:00:00.310","148.930"
"00:00:00.320","167.547"
"00:00:00.330","186.163"
"00:00:00.340","167.547"
"00:00:00.350","186.163"
"00:00:00.360","167.547"
"00:00:00.370","186.163"
"00:00:00.380","155.136"
"00:00:00.390","176.855"
"00:00:00.400","158.238"
"00:00:00.410","186.163"
"00:00:00.420","176.855"
"00:00:00.430","167.547"
"00:00:00.440","158.238"
"00:00:00.450","186.163"
"00:00:00.460","148.930"
"00:00:00.470","176.855"
"00:00:00.480","186.163"
"00:00:00.490","176.855"
"00:00:00.500","148.930"
"00:00:00.510","176.855"
"00:00:00.520","176.855"
"00:00:00.530","167.547"
"00:00:00.540","176.855"
"00:00:00.550","167.547"
"00:00:00.560","176.855"
"00:00:00.570","158.238"
"00:00:00.580","186.163"
"00:00:00.590","186.163"
"00:00:00.600","158.238"
"00:00:00.610","176.855"
"00:00:00.620","176.855"
"00:00:00.630","186.163"
"00:00:00.640","158.238"
"00:00:00.650","139.622"
"00:00:00.660","186.163"
"00:00:00.670","158.238"
"00:00:00.680","167.547"
"00:00:00.690","167.547"
"00:00:00.700","176.855"
"00:00:00.710","186.163"
"00:00:00.720","139.622"
"00:00:00.730","148.930"
"00:00:00.740","158.238"
"00:00:00.750","186.163"
"00:00:00.760","176.855"
"00:00:00.770","158.238"
"00:00:00.780","186.163"
"00:00:00.790","148.930"
"00:00:00.800","158.238"
"00:00:00.810","176.855"
"00:00:00.820","158.238"
"00:00:00.830","176.855"
"00:00:00.840","176.855"
"00:00:00.850","158.238"
"00:00:00.860","148.930"
"00:00:00.870","158.238"
"00:00:00.880","167.547"
"00:00:00.890","158.238"
"00:00:00.900","186.163"
"00:00:00.910","158.238"
"00:00:00.920","176.855"
"00:00:00.930","186.163"
"00:00:00.940","176.855"
"00:00:00.950","176.855"
"00:00:00.960","158.238"
"00:00:00.970","167.547"
"00:00:00.980","158.238"
"00:00:00.990","158.238"
"00:00:01.000","158.238"
"00:00:01.010","148.930"
"00:00:01.020","167.547"
"00:00:01.030","176.855"
"00:00:01.040","176.855"
"00:00:01.050","158.238"
"00:00:01.060","176.855"
"00:00:01.070","158.238"
"00:00:01.080","158.238"
"00:00:01.090","139.622"
"00:00:01.100","176.855"
"00:00:01.110","176.855"
"00:00:01.120","176.855"
"00:00:01.130","148.930"
"00:00:01.140","167.547"
"00:00:01.150","176.855"
"00:00:01.160","176.855"
"00:00:01.170","167.547"
"00:00:01.180","176.855"
"00:00:01.190","167.547"
"00:00:01.200","167.547"
"00:00:01.210","176.855"
"00:00:01.220","186.163"
"00:00:01.230","158.238"
"00:00:01.240","176.855"
"00:00:01.250","176.855"
"00:00:01.260","167.547"
"00:00:01.270","167.547"
"00:00:01.280","167.547"
"00:00:01.290","167.547"
"00:00:01.300","158.238"
"00:00:01.310","158.238"
"00:00:01.320","167.547"
"00:00:01.330","158.238"
"00:00:01.340","167.547"
"00:00:01.350","186.163"
"00:00:01.360","167.547"
"00:00:01.370","139.622"
"00:00:01.380","176.855"
"00:00:01.390","158.238"
"00:00:01.400","158.238"
"00:00:01.410","148.930"
"00:00:01.420","176.855"
"00:00:01.430","167.547"
"00:00:01.440","139.622"
"00:00:01.450","167.547"
"00:00:01.460","158.238"
"00:00:01.470","167.547"
"00:00:01.480","176.855"
"00:00:01.490","167.547"
"00:00:01.500","158.238"
"00:00:01.510","158.238"
"00:00:01.520","158.238"
"00:00:01.530","176.855"
"00:00:01.540","176.855"
"00:00:01.550","158.238"
"00:00:01.560","158.238"
"00:00:01.570","167.547"
"00:00:01.580","130.314"
"00:00:01.590","167.547"
"00:00:01.600","176.855"
"00:00:01.610","167.547"
"00:00:01.620","176.855"
"00:00:01.630","167.547"
"00:00:01.640","167.547"
"00:00:01.650","158.238"
"00:00:01.660","176.855"
"00:00:01.670","158.238"
"00:00:01.680","176.855"
"00:00:01.690","167.547"
"00:00:01.700","176.855"
"00:00:01.710","148.930"
"00:00:01.720","158.238"
"00:00:01.730","130.314"
"00:00:01.740","176.855"
"00:00:01.750","167.547"
"00:00:01.760","176.855"
"00:00:01.770","148.930"
"00:00:01.780","167.547"
"00:00:01.790","186.163"
"00:00:01.800","167.547"
"00:00:01.810","158.238"
"00:00:01.820","158.238"
"00:00:01.830","158.238"
"00:00:01.840","148.930"
"00:00:01.850","158.238"
"00:00:01.860","167.547"
"00:00:01.870","176.855"
"00:00:01.880","148.930"
"00:00:01.890","176.855"
"00:00:01.900","167.547"
"00:00:01.910","167.547"
"00:00:01.920","186.163"
"00:00:01.930","158.238"
"00:00:01.940","148.930"
"00:00:01.950","158.238"
"00:00:01.960","148.930"
"00:00:01.970","167.547"
"00:00:01.980","186.163"
"00:00:01.990","121.006"
