"","Channel A Last (mV)"
"00:00:00.000","651.570"
"00:00:00.010","651.570"
"00:00:00.020","651.570"
"00:00:00.030","651.570"
"00:00:00.040","651.570"
"00:00:00.050","651.570"
"00:00:00.060","651.570"
"00:00:00.070","651.570"
"00:00:00.080","642.262"
"00:00:00.090","651.570"
"00:00:00.100","651.570"
"00:00:00.110","651.570"
"00:00:00.120","651.570"
"00:00:00.130","651.570"
"00:00:00.140","651.570"
"00:00:00.150","651.570"
"00:00:00.160","651.570"
"00:00:00.170","651.570"
"00:00:00.180","651.570"
"00:00:00.190","651.570"
"00:00:00.200","651.570"
"00:00:00.210","651.570"
"00:00:00.220","651.570"
"00:00:00.230","651.570"
"00:00:00.240","651.570"
"00:00:00.250","651.570"
"00:00:00.260","651.570"
"00:00:00.270","651.570"
"00:00:00.280","651.570"
"00:00:00.290","651.570"
"00:00:00.300","651.570"
"00:00:00.310","651.570"
"00:00:00.320","651.570"
"00:00:00.330","651.570"
"00:00:00.340","651.570"
"00:00:00.350","651.570"
"00:00:00.360","651.570"
"00:00:00.370","651.570"
"00:00:00.380","651.570"
"00:00:00.390","651.570"
"00:00:00.400","651.570"
"00:00:00.410","651.570"
"00:00:00.420","651.570"
"00:00:00.430","651.570"
"00:00:00.440","651.570"
"00:00:00.450","642.262"
"00:00:00.460","651.570"
"00:00:00.470","651.570"
"00:00:00.480","651.570"
"00:00:00.490","651.570"
"00:00:00.500","642.262"
"00:00:00.510","651.570"
"00:00:00.520","651.570"
"00:00:00.530","642.262"
"00:00:00.540","651.570"
"00:00:00.550","651.570"
"00:00:00.560","651.570"
"00:00:00.570","651.570"
"00:00:00.580","651.570"
"00:00:00.590","651.570"
"00:00:00.600","651.570"
"00:00:00.610","651.570"
"00:00:00.620","651.570"
"00:00:00.630","651.570"
"00:00:00.640","651.570"
"00:00:00.650","651.570"
"00:00:00.660","651.570"
"00:00:00.670","642.262"
"00:00:00.680","651.570"
"00:00:00.690","651.570"
"00:00:00.700","642.262"
"00:00:00.710","651.570"
"00:00:00.720","651.570"
"00:00:00.730","651.570"
"00:00:00.740","651.570"
"00:00:00.750","651.570"
"00:00:00.760","651.570"
"00:00:00.770","651.570"
"00:00:00.780","651.570"
"00:00:00.790","651.570"
"00:00:00.800","651.570"
"00:00:00.810","651.570"
"00:00:00.820","651.570"
"00:00:00.830","651.570"
"00:00:00.840","651.570"
"00:00:00.850","651.570"
"00:00:00.860","651.570"
"00:00:00.870","651.570"
"00:00:00.880","651.570"
"00:00:00.890","651.570"
"00:00:00.900","651.570"
"00:00:00.910","651.570"
"00:00:00.920","651.570"
"00:00:00.930","651.570"
"00:00:00.940","651.570"
"00:00:00.950","651.570"
"00:00:00.960","651.570"
"00:00:00.970","651.570"
"00:00:00.980","651.570"
"00:00:00.990","651.570"
"00:00:01.000","651.570"
"00:00:01.010","651.570"
"00:00:01.020","651.570"
"00:00:01.030","651.570"
"00:00:01.040","651.570"
"00:00:01.050","651.570"
"00:00:01.060","651.570"
"00:00:01.070","651.570"
"00:00:01.080","651.570"
"00:00:01.090","651.570"
"00:00:01.100","651.570"
"00:00:01.110","651.570"
"00:00:01.120","651.570"
"00:00:01.130","651.570"
"00:00:01.140","651.570"
"00:00:01.150","651.570"
"00:00:01.160","651.570"
"00:00:01.170","651.570"
"00:00:01.180","651.570"
"00:00:01.190","651.570"
"00:00:01.200","651.570"
"00:00:01.210","642.262"
"00:00:01.220","651.570"
"00:00:01.230","651.570"
"00:00:01.240","651.570"
"00:00:01.250","651.570"
"00:00:01.260","651.570"
"00:00:01.270","651.570"
"00:00:01.280","651.570"
"00:00:01.290","651.570"
"00:00:01.300","651.570"
"00:00:01.310","651.570"
"00:00:01.320","651.570"
"00:00:01.330","651.570"
"00:00:01.340","651.570"
"00:00:01.350","651.570"
"00:00:01.360","651.570"
"00:00:01.370","642.262"
"00:00:01.380","651.570"
"00:00:01.390","651.570"
"00:00:01.400","651.570"
"00:00:01.410","651.570"
"00:00:01.420","651.570"
"00:00:01.430","642.262"
"00:00:01.440","642.262"
"00:00:01.450","651.570"
"00:00:01.460","651.570"
"00:00:01.470","651.570"
"00:00:01.480","651.570"
"00:00:01.490","651.570"
"00:00:01.500","651.570"
"00:00:01.510","651.570"
"00:00:01.520","651.570"
"00:00:01.530","651.570"
"00:00:01.540","651.570"
"00:00:01.550","651.570"
"00:00:01.560","651.570"
"00:00:01.570","651.570"
"00:00:01.580","651.570"
"00:00:01.590","651.570"
"00:00:01.600","651.570"
"00:00:01.610","651.570"
"00:00:01.620","651.570"
"00:00:01.630","651.570"
"00:00:01.640","651.570"
"00:00:01.650","642.262"
"00:00:01.660","651.570"
"00:00:01.670","651.570"
"00:00:01.680","651.570"
"00:00:01.690","651.570"
"00:00:01.700","651.570"
"00:00:01.710","642.262"
"00:00:01.720","651.570"
"00:00:01.730","651.570"
"00:00:01.740","651.570"
"00:00:01.750","651.570"
"00:00:01.760","651.570"
"00:00:01.770","651.570"
"00:00:01.780","651.570"
"00:00:01.790","651.570"
"00:00:01.800","651.570"
"00:00:01.810","651.570"
"00:00:01.820","642.262"
"00:00:01.830","651.570"
"00:00:01.840","651.570"
"00:00:01.850","651.570"
"00:00:01.860","651.570"
"00:00:01.870","651.570"
"00:00:01.880","651.570"
"00:00:01.890","651.570"
"00:00:01.900","642.262"
"00:00:01.910","651.570"
"00:00:01.920","651.570"
"00:00:01.930","651.570"
"00:00:01.940","651.570"
"00:00:01.950","651.570"
"00:00:01.960","651.570"
"00:00:01.970","651.570"
"00:00:01.980","651.570"
"00:00:01.990","651.570"
"00:00:02.000","651.570"
"00:00:02.010","651.570"
"00:00:02.020","651.570"
"00:00:02.030","651.570"
"00:00:02.040","651.570"
"00:00:02.050","651.570"
"00:00:02.060","651.570"
"00:00:02.070","651.570"
"00:00:02.080","651.570"
"00:00:02.090","651.570"
"00:00:02.100","651.570"
"00:00:02.110","651.570"
"00:00:02.120","651.570"
"00:00:02.130","651.570"
"00:00:02.140","651.570"
"00:00:02.150","651.570"
"00:00:02.160","651.570"
"00:00:02.170","651.570"
"00:00:02.180","651.570"
"00:00:02.190","651.570"
"00:00:02.200","651.570"
"00:00:02.210","651.570"
"00:00:02.220","651.570"
"00:00:02.230","651.570"
"00:00:02.240","651.570"
"00:00:02.250","651.570"
"00:00:02.260","651.570"
"00:00:02.270","651.570"
"00:00:02.280","651.570"
"00:00:02.290","651.570"
"00:00:02.300","651.570"
"00:00:02.310","651.570"
"00:00:02.320","651.570"
"00:00:02.330","651.570"
"00:00:02.340","651.570"
"00:00:02.350","651.570"
"00:00:02.360","651.570"
"00:00:02.370","651.570"
"00:00:02.380","651.570"
"00:00:02.390","651.570"
"00:00:02.400","651.570"
"00:00:02.410","651.570"
"00:00:02.420","651.570"
"00:00:02.430","651.570"
"00:00:02.440","651.570"
"00:00:02.450","651.570"
"00:00:02.460","651.570"
"00:00:02.470","651.570"
"00:00:02.480","651.570"
"00:00:02.490","651.570"
"00:00:02.500","651.570"
"00:00:02.510","651.570"
"00:00:02.520","651.570"
"00:00:02.530","651.570"
"00:00:02.540","651.570"
"00:00:02.550","651.570"
"00:00:02.560","651.570"
"00:00:02.570","651.570"
"00:00:02.580","651.570"
"00:00:02.590","651.570"
"00:00:02.600","651.570"
"00:00:02.610","651.570"
"00:00:02.620","651.570"
"00:00:02.630","651.570"
"00:00:02.640","651.570"
"00:00:02.650","651.570"
"00:00:02.660","651.570"
"00:00:02.670","651.570"
"00:00:02.680","651.570"
"00:00:02.690","651.570"
"00:00:02.700","651.570"
"00:00:02.710","651.570"
"00:00:02.720","651.570"
"00:00:02.730","651.570"
"00:00:02.740","651.570"
"00:00:02.750","642.262"
"00:00:02.760","651.570"
"00:00:02.770","651.570"
"00:00:02.780","651.570"
"00:00:02.790","651.570"
"00:00:02.800","651.570"
"00:00:02.810","651.570"
"00:00:02.820","651.570"
"00:00:02.830","651.570"
"00:00:02.840","651.570"
"00:00:02.850","651.570"
"00:00:02.860","651.570"
"00:00:02.870","651.570"
"00:00:02.880","651.570"
"00:00:02.890","651.570"
"00:00:02.900","651.570"
"00:00:02.910","651.570"
"00:00:02.920","651.570"
"00:00:02.930","651.570"
"00:00:02.940","651.570"
"00:00:02.950","651.570"
"00:00:02.960","651.570"
"00:00:02.970","651.570"
"00:00:02.980","651.570"
"00:00:02.990","651.570"
"00:00:03.000","651.570"
"00:00:03.010","651.570"
"00:00:03.020","651.570"
"00:00:03.030","651.570"
"00:00:03.040","651.570"
"00:00:03.050","651.570"
"00:00:03.060","651.570"
"00:00:03.070","651.570"
"00:00:03.080","651.570"
"00:00:03.090","651.570"
"00:00:03.100","651.570"
"00:00:03.110","651.570"
"00:00:03.120","651.570"
"00:00:03.130","651.570"
"00:00:03.140","651.570"
"00:00:03.150","651.570"
"00:00:03.160","651.570"
"00:00:03.170","651.570"
"00:00:03.180","651.570"
"00:00:03.190","651.570"
"00:00:03.200","651.570"
"00:00:03.210","651.570"
"00:00:03.220","651.570"
"00:00:03.230","651.570"
"00:00:03.240","651.570"
"00:00:03.250","651.570"
"00:00:03.260","651.570"
"00:00:03.270","651.570"
"00:00:03.280","651.570"
"00:00:03.290","642.262"
"00:00:03.300","660.878"
"00:00:03.310","651.570"
"00:00:03.320","651.570"
"00:00:03.330","651.570"
"00:00:03.340","651.570"
"00:00:03.350","651.570"
"00:00:03.360","651.570"
"00:00:03.370","651.570"
"00:00:03.380","651.570"
"00:00:03.390","651.570"
"00:00:03.400","651.570"
"00:00:03.410","651.570"
"00:00:03.420","651.570"
"00:00:03.430","651.570"
"00:00:03.440","651.570"
"00:00:03.450","651.570"
"00:00:03.460","651.570"
"00:00:03.470","651.570"
"00:00:03.480","651.570"
"00:00:03.490","651.570"
"00:00:03.500","651.570"
"00:00:03.510","651.570"
"00:00:03.520","651.570"
"00:00:03.530","651.570"
"00:00:03.540","651.570"
"00:00:03.550","651.570"
"00:00:03.560","642.262"
"00:00:03.570","651.570"
"00:00:03.580","651.570"
"00:00:03.590","651.570"
"00:00:03.600","651.570"
"00:00:03.610","651.570"
"00:00:03.620","651.570"
"00:00:03.630","651.570"
"00:00:03.640","651.570"
"00:00:03.650","651.570"
"00:00:03.660","651.570"
"00:00:03.670","651.570"
"00:00:03.680","651.570"
"00:00:03.690","651.570"
"00:00:03.700","651.570"
"00:00:03.710","651.570"
"00:00:03.720","651.570"
"00:00:03.730","651.570"
"00:00:03.740","651.570"
"00:00:03.750","651.570"
"00:00:03.760","651.570"
"00:00:03.770","651.570"
"00:00:03.780","651.570"
"00:00:03.790","651.570"
"00:00:03.800","651.570"
"00:00:03.810","651.570"
"00:00:03.820","651.570"
"00:00:03.830","651.570"
"00:00:03.840","651.570"
"00:00:03.850","651.570"
"00:00:03.860","651.570"
"00:00:03.870","651.570"
"00:00:03.880","651.570"
"00:00:03.890","651.570"
"00:00:03.900","651.570"
"00:00:03.910","651.570"
"00:00:03.920","651.570"
"00:00:03.930","651.570"
"00:00:03.940","651.570"
"00:00:03.950","642.262"
"00:00:03.960","651.570"
"00:00:03.970","651.570"
"00:00:03.980","651.570"
"00:00:03.990","651.570"
"00:00:04.000","651.570"
"00:00:04.010","651.570"
"00:00:04.020","651.570"
"00:00:04.030","651.570"
"00:00:04.040","651.570"
"00:00:04.050","651.570"
"00:00:04.060","651.570"
"00:00:04.070","651.570"
"00:00:04.080","651.570"
"00:00:04.090","651.570"
"00:00:04.100","642.262"
"00:00:04.110","651.570"
"00:00:04.120","651.570"
"00:00:04.130","651.570"
"00:00:04.140","651.570"
"00:00:04.150","651.570"
"00:00:04.160","651.570"
"00:00:04.170","642.262"
"00:00:04.180","651.570"
"00:00:04.190","651.570"
"00:00:04.200","651.570"
"00:00:04.210","651.570"
"00:00:04.220","651.570"
"00:00:04.230","651.570"
"00:00:04.240","651.570"
"00:00:04.250","651.570"
"00:00:04.260","651.570"
"00:00:04.270","651.570"
"00:00:04.280","651.570"
"00:00:04.290","651.570"
"00:00:04.300","651.570"
"00:00:04.310","651.570"
"00:00:04.320","651.570"
"00:00:04.330","651.570"
"00:00:04.340","651.570"
"00:00:04.350","651.570"
"00:00:04.360","651.570"
"00:00:04.370","651.570"
"00:00:04.380","651.570"
"00:00:04.390","651.570"
"00:00:04.400","651.570"
"00:00:04.410","651.570"
"00:00:04.420","651.570"
"00:00:04.430","651.570"
"00:00:04.440","651.570"
"00:00:04.450","651.570"
"00:00:04.460","651.570"
"00:00:04.470","651.570"
"00:00:04.480","651.570"
"00:00:04.490","651.570"
"00:00:04.500","651.570"
"00:00:04.510","651.570"
"00:00:04.520","651.570"
"00:00:04.530","651.570"
"00:00:04.540","651.570"
"00:00:04.550","651.570"
"00:00:04.560","651.570"
"00:00:04.570","651.570"
"00:00:04.580","651.570"
"00:00:04.590","651.570"
"00:00:04.600","642.262"
"00:00:04.610","642.262"
"00:00:04.620","651.570"
"00:00:04.630","651.570"
"00:00:04.640","651.570"
"00:00:04.650","651.570"
"00:00:04.660","651.570"
"00:00:04.670","651.570"
"00:00:04.680","651.570"
"00:00:04.690","651.570"
"00:00:04.700","651.570"
"00:00:04.710","651.570"
"00:00:04.720","651.570"
"00:00:04.730","651.570"
"00:00:04.740","651.570"
"00:00:04.750","651.570"
"00:00:04.760","651.570"
"00:00:04.770","651.570"
"00:00:04.780","651.570"
"00:00:04.790","651.570"
"00:00:04.800","651.570"
"00:00:04.810","651.570"
"00:00:04.820","642.262"
"00:00:04.830","651.570"
"00:00:04.840","651.570"
"00:00:04.850","651.570"
"00:00:04.860","651.570"
"00:00:04.870","651.570"
"00:00:04.880","651.570"
"00:00:04.890","651.570"
"00:00:04.900","651.570"
"00:00:04.910","651.570"
"00:00:04.920","651.570"
"00:00:04.930","651.570"
"00:00:04.940","651.570"
"00:00:04.950","651.570"
"00:00:04.960","651.570"
"00:00:04.970","651.570"
"00:00:04.980","651.570"
"00:00:04.990","651.570"
"00:00:05.000","651.570"
"00:00:05.010","651.570"
"00:00:05.020","651.570"
"00:00:05.030","651.570"
"00:00:05.040","651.570"
"00:00:05.050","651.570"
"00:00:05.060","651.570"
"00:00:05.070","651.570"
"00:00:05.080","651.570"
"00:00:05.090","651.570"
"00:00:05.100","651.570"
"00:00:05.110","651.570"
"00:00:05.120","651.570"
"00:00:05.130","642.262"
"00:00:05.140","651.570"
"00:00:05.150","651.570"
"00:00:05.160","651.570"
"00:00:05.170","651.570"
"00:00:05.180","651.570"
"00:00:05.190","651.570"
"00:00:05.200","651.570"
"00:00:05.210","651.570"
"00:00:05.220","651.570"
"00:00:05.230","651.570"
"00:00:05.240","651.570"
"00:00:05.250","651.570"
"00:00:05.260","651.570"
"00:00:05.270","651.570"
"00:00:05.280","651.570"
"00:00:05.290","651.570"
"00:00:05.300","651.570"
"00:00:05.310","651.570"
"00:00:05.320","642.262"
"00:00:05.330","651.570"
"00:00:05.340","651.570"
"00:00:05.350","651.570"
"00:00:05.360","651.570"
"00:00:05.370","651.570"
"00:00:05.380","651.570"
"00:00:05.390","651.570"
"00:00:05.400","651.570"
"00:00:05.410","660.878"
"00:00:05.420","651.570"
"00:00:05.430","651.570"
"00:00:05.440","651.570"
"00:00:05.450","651.570"
"00:00:05.460","651.570"
"00:00:05.470","651.570"
"00:00:05.480","651.570"
"00:00:05.490","651.570"
"00:00:05.500","651.570"
"00:00:05.510","660.878"
"00:00:05.520","651.570"
"00:00:05.530","651.570"
"00:00:05.540","651.570"
"00:00:05.550","651.570"
"00:00:05.560","651.570"
"00:00:05.570","642.262"
"00:00:05.580","651.570"
"00:00:05.590","651.570"
"00:00:05.600","651.570"
"00:00:05.610","651.570"
"00:00:05.620","651.570"
"00:00:05.630","651.570"
"00:00:05.640","651.570"
"00:00:05.650","642.262"
"00:00:05.660","642.262"
"00:00:05.670","651.570"
"00:00:05.680","651.570"
"00:00:05.690","651.570"
"00:00:05.700","651.570"
"00:00:05.710","642.262"
"00:00:05.720","651.570"
"00:00:05.730","651.570"
"00:00:05.740","651.570"
"00:00:05.750","651.570"
"00:00:05.760","651.570"
"00:00:05.770","651.570"
"00:00:05.780","651.570"
"00:00:05.790","651.570"
"00:00:05.800","651.570"
"00:00:05.810","651.570"
"00:00:05.820","651.570"
"00:00:05.830","651.570"
"00:00:05.840","651.570"
"00:00:05.850","651.570"
"00:00:05.860","651.570"
"00:00:05.870","651.570"
"00:00:05.880","651.570"
"00:00:05.890","651.570"
"00:00:05.900","651.570"
"00:00:05.910","651.570"
"00:00:05.920","651.570"
"00:00:05.930","651.570"
"00:00:05.940","651.570"
"00:00:05.950","651.570"
"00:00:05.960","651.570"
"00:00:05.970","651.570"
"00:00:05.980","651.570"
"00:00:05.990","651.570"
"00:00:06.000","651.570"
"00:00:06.010","651.570"
"00:00:06.020","660.878"
"00:00:06.030","651.570"
"00:00:06.040","651.570"
"00:00:06.050","651.570"
"00:00:06.060","651.570"
"00:00:06.070","651.570"
"00:00:06.080","651.570"
"00:00:06.090","642.262"
"00:00:06.100","651.570"
"00:00:06.110","651.570"
"00:00:06.120","651.570"
"00:00:06.130","651.570"
"00:00:06.140","651.570"
"00:00:06.150","651.570"
"00:00:06.160","651.570"
"00:00:06.170","642.262"
"00:00:06.180","651.570"
"00:00:06.190","651.570"
"00:00:06.200","651.570"
"00:00:06.210","651.570"
"00:00:06.220","651.570"
"00:00:06.230","651.570"
"00:00:06.240","651.570"
"00:00:06.250","651.570"
"00:00:06.260","651.570"
"00:00:06.270","651.570"
"00:00:06.280","651.570"
"00:00:06.290","642.262"
"00:00:06.300","642.262"
"00:00:06.310","651.570"
"00:00:06.320","651.570"
"00:00:06.330","651.570"
"00:00:06.340","651.570"
"00:00:06.350","651.570"
"00:00:06.360","651.570"
"00:00:06.370","651.570"
"00:00:06.380","660.878"
"00:00:06.390","642.262"
"00:00:06.400","651.570"
"00:00:06.410","651.570"
"00:00:06.420","651.570"
"00:00:06.430","651.570"
"00:00:06.440","651.570"
"00:00:06.450","642.262"
"00:00:06.460","651.570"
"00:00:06.470","651.570"
"00:00:06.480","651.570"
"00:00:06.490","651.570"
"00:00:06.500","651.570"
"00:00:06.510","651.570"
"00:00:06.520","651.570"
"00:00:06.530","651.570"
"00:00:06.540","651.570"
"00:00:06.550","651.570"
"00:00:06.560","651.570"
"00:00:06.570","651.570"
"00:00:06.580","651.570"
"00:00:06.590","651.570"
"00:00:06.600","651.570"
"00:00:06.610","651.570"
"00:00:06.620","651.570"
"00:00:06.630","651.570"
"00:00:06.640","651.570"
"00:00:06.650","651.570"
"00:00:06.660","651.570"
"00:00:06.670","651.570"
"00:00:06.680","651.570"
"00:00:06.690","651.570"
"00:00:06.700","651.570"
"00:00:06.710","651.570"
"00:00:06.720","651.570"
"00:00:06.730","651.570"
"00:00:06.740","642.262"
"00:00:06.750","651.570"
"00:00:06.760","651.570"
"00:00:06.770","651.570"
"00:00:06.780","651.570"
"00:00:06.790","651.570"
"00:00:06.800","651.570"
"00:00:06.810","642.262"
"00:00:06.820","651.570"
"00:00:06.830","651.570"
"00:00:06.840","651.570"
"00:00:06.850","651.570"
"00:00:06.860","651.570"
"00:00:06.870","651.570"
"00:00:06.880","651.570"
"00:00:06.890","651.570"
"00:00:06.900","651.570"
"00:00:06.910","651.570"
"00:00:06.920","651.570"
"00:00:06.930","651.570"
"00:00:06.940","651.570"
"00:00:06.950","651.570"
"00:00:06.960","651.570"
"00:00:06.970","651.570"
"00:00:06.980","651.570"
"00:00:06.990","651.570"
"00:00:07.000","651.570"
"00:00:07.010","651.570"
"00:00:07.020","651.570"
"00:00:07.030","651.570"
"00:00:07.040","651.570"
"00:00:07.050","651.570"
"00:00:07.060","651.570"
"00:00:07.070","651.570"
"00:00:07.080","651.570"
"00:00:07.090","651.570"
"00:00:07.100","651.570"
"00:00:07.110","651.570"
"00:00:07.120","651.570"
"00:00:07.130","651.570"
"00:00:07.140","651.570"
"00:00:07.150","651.570"
"00:00:07.160","651.570"
"00:00:07.170","651.570"
"00:00:07.180","651.570"
"00:00:07.190","651.570"
"00:00:07.200","642.262"
"00:00:07.210","651.570"
"00:00:07.220","651.570"
"00:00:07.230","651.570"
"00:00:07.240","651.570"
"00:00:07.250","651.570"
"00:00:07.260","651.570"
"00:00:07.270","651.570"
"00:00:07.280","651.570"
"00:00:07.290","651.570"
"00:00:07.300","651.570"
"00:00:07.310","651.570"
"00:00:07.320","651.570"
"00:00:07.330","651.570"
"00:00:07.340","651.570"
"00:00:07.350","642.262"
"00:00:07.360","651.570"
"00:00:07.370","651.570"
"00:00:07.380","642.262"
"00:00:07.390","651.570"
"00:00:07.400","651.570"
"00:00:07.410","651.570"
"00:00:07.420","651.570"
"00:00:07.430","651.570"
"00:00:07.440","651.570"
"00:00:07.450","651.570"
"00:00:07.460","651.570"
"00:00:07.470","651.570"
"00:00:07.480","651.570"
"00:00:07.490","651.570"
"00:00:07.500","651.570"
"00:00:07.510","651.570"
"00:00:07.520","651.570"
"00:00:07.530","651.570"
"00:00:07.540","651.570"
"00:00:07.550","651.570"
"00:00:07.560","651.570"
"00:00:07.570","651.570"
"00:00:07.580","651.570"
"00:00:07.590","651.570"
"00:00:07.600","651.570"
"00:00:07.610","651.570"
"00:00:07.620","642.262"
"00:00:07.630","651.570"
"00:00:07.640","651.570"
"00:00:07.650","651.570"
"00:00:07.660","651.570"
"00:00:07.670","651.570"
"00:00:07.680","651.570"
"00:00:07.690","651.570"
"00:00:07.700","651.570"
"00:00:07.710","651.570"
"00:00:07.720","651.570"
"00:00:07.730","651.570"
"00:00:07.740","651.570"
"00:00:07.750","651.570"
"00:00:07.760","651.570"
"00:00:07.770","651.570"
"00:00:07.780","642.262"
"00:00:07.790","651.570"
"00:00:07.800","651.570"
"00:00:07.810","651.570"
"00:00:07.820","651.570"
"00:00:07.830","651.570"
"00:00:07.840","651.570"
"00:00:07.850","651.570"
"00:00:07.860","651.570"
"00:00:07.870","651.570"
"00:00:07.880","651.570"
"00:00:07.890","651.570"
"00:00:07.900","651.570"
"00:00:07.910","651.570"
"00:00:07.920","651.570"
"00:00:07.930","642.262"
"00:00:07.940","651.570"
"00:00:07.950","651.570"
"00:00:07.960","651.570"
"00:00:07.970","642.262"
"00:00:07.980","651.570"
"00:00:07.990","651.570"
"00:00:08.000","651.570"
"00:00:08.010","651.570"
"00:00:08.020","651.570"
"00:00:08.030","651.570"
"00:00:08.040","660.878"
"00:00:08.050","642.262"
"00:00:08.060","651.570"
"00:00:08.070","651.570"
"00:00:08.080","651.570"
"00:00:08.090","651.570"
"00:00:08.100","642.262"
"00:00:08.110","651.570"
"00:00:08.120","651.570"
"00:00:08.130","651.570"
"00:00:08.140","651.570"
"00:00:08.150","651.570"
"00:00:08.160","651.570"
"00:00:08.170","642.262"
"00:00:08.180","642.262"
"00:00:08.190","651.570"
"00:00:08.200","651.570"
"00:00:08.210","651.570"
"00:00:08.220","651.570"
"00:00:08.230","651.570"
"00:00:08.240","642.262"
"00:00:08.250","642.262"
"00:00:08.260","651.570"
"00:00:08.270","651.570"
"00:00:08.280","651.570"
"00:00:08.290","651.570"
"00:00:08.300","651.570"
"00:00:08.310","651.570"
"00:00:08.320","651.570"
"00:00:08.330","651.570"
"00:00:08.340","651.570"
"00:00:08.350","651.570"
"00:00:08.360","651.570"
"00:00:08.370","651.570"
"00:00:08.380","651.570"
"00:00:08.390","651.570"
"00:00:08.400","651.570"
"00:00:08.410","651.570"
"00:00:08.420","651.570"
"00:00:08.430","651.570"
