"","Channel A Last (mV)"
"00:00:00.000","2764.824"
"00:00:00.010","2718.284"
"00:00:00.020","2736.900"
"00:00:00.030","2718.284"
"00:00:00.040","2718.284"
"00:00:00.050","2736.900"
"00:00:00.060","2718.284"
"00:00:00.070","2736.900"
"00:00:00.080","2736.900"
"00:00:00.090","2727.592"
"00:00:00.100","2727.592"
"00:00:00.110","2736.900"
"00:00:00.120","2718.284"
"00:00:00.130","2727.592"
"00:00:00.140","2746.208"
"00:00:00.150","2755.516"
"00:00:00.160","2746.208"
"00:00:00.170","2736.900"
"00:00:00.180","2746.208"
"00:00:00.190","2736.900"
"00:00:00.200","2746.208"
"00:00:00.210","2746.208"
"00:00:00.220","2718.284"
"00:00:00.230","2718.284"
"00:00:00.240","2736.900"
"00:00:00.250","2755.516"
"00:00:00.260","2746.208"
"00:00:00.270","2755.516"
"00:00:00.280","2774.133"
"00:00:00.290","2774.133"
"00:00:00.300","2736.900"
"00:00:00.310","2755.516"
"00:00:00.320","2746.208"
"00:00:00.330","2718.284"
"00:00:00.340","2755.516"
"00:00:00.350","2718.284"
"00:00:00.360","2727.592"
"00:00:00.370","2727.592"
"00:00:00.380","2718.284"
"00:00:00.390","2764.824"
"00:00:00.400","2718.284"
"00:00:00.410","2727.592"
"00:00:00.420","2736.900"
"00:00:00.430","2736.900"
"00:00:00.440","2708.976"
"00:00:00.450","2718.284"
"00:00:00.460","2736.900"
"00:00:00.470","2718.284"
"00:00:00.480","2736.900"
"00:00:00.490","2718.284"
"00:00:00.500","2736.900"
"00:00:00.510","2736.900"
"00:00:00.520","2774.133"
"00:00:00.530","2764.824"
"00:00:00.540","2755.516"
"00:00:00.550","2755.516"
"00:00:00.560","2718.284"
"00:00:00.570","2746.208"
"00:00:00.580","2718.284"
"00:00:00.590","2718.284"
"00:00:00.600","2718.284"
"00:00:00.610","2746.208"
"00:00:00.620","2764.824"
"00:00:00.630","2718.284"
"00:00:00.640","2736.900"
"00:00:00.650","2746.208"
"00:00:00.660","2718.284"
